Код ID;Арикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Склад;Категория
;54813-2C100;Втулка стабилизатора переднего;504;;;;;5;3
;54813-17100;Втулка стабилизатора переднего;360;;;;;5;3
;54813-3A000;Втулка стабилизатора переднего;450;;;;;2;3
;54813-2E100;Втулка стабилизатора переднего;360;;;;;5;3
;54813-3K100;Втулка стабилизатора переднего;450;;;;;5;3
;54813-4B000;Втулка стабилизатора переднего;270;;;;;2;3
;54812-1G100;Втулка стабилизатора переднего;450;;;;;5;3
;54813-2D102;Втулка стабилизатора переднего;360;;;;;5;3
;54813-4A650;Втулка стабилизатора переднего;540;;;;;4;3
;54813-4A600;Втулка стабилизатора переднего;504;;;;;2;3
;54813-39110;Втулка стабилизатора переднего;450;;;;;5;3
;54813-4A101;Втулка стабилизатора переднего;450;;;;;2;3
;54711-43160;Втулка стабилизатора переднего (24мм);270;;;;;5;3
;54841-38000;Втулка стойки стабилизатора;146;;;;;5;3
;54826-22000;Втулка стойки стабилизатора;51;;;;;5;3
;54716-43160;Втулка стойки стабилизатора;41;;;;;5;3
;54721-43000;Втулка стойки стабилизатора (распорная);153;;;;;4;3
;MB176368;Втулка стойки стабилизатора переднего;72;;;;;5;3
;93740-1C000;Выкл п/т фар;982;;;;;1;3
;93740-25000;Выкл п/т фар;900;;;;;4;3
;93810-25100;Выкл стоп-сигнала;1145;;;;;1;3
;93810-38000;Выкл стоп-сигнала;982;;;;;3;3
;93560-23100;Выключатель контакта двери;360;;;;;1;3
;98726-29600;Гайка;205;;;;;4;3
;52745-37000;Гайка задней ступицы;270;;;;;2;3
;52950-47000;Гайка колеса;245;;;;;4;3
;52950-37000;Гайка колеса;225;;;;;5;3
;52951-47000;Гайка колеса;205;;;;;5;3
;52950-14140;Гайка колеса  (лит диск);143;;;;;5;3
;52950-M1000;Гайка колеса  (лит диск);164;;;;;5;3
;52950-24000;Гайка колеса  (стал диск);143;;;;;1.380,00;3
;49551-21000;Гайка передней ступицы;225;;;;;1;3
;13260-14001;Гайка шаровой;82;;;;;5;3
;37300-39010;Генератор;20230;;;;;2;3
;37300-37800;Генератор;15055;;;;;1;3
;37300-2B101;Генератор;12138;;;;;1;3
;37300-37405;Генератор (110A);11782;;;;;3;3
;37300-42621;Генератор (65A);14584;;;;;1;3
;37300-33013;Генератор (75A);10800;;;;;1;3
;37300-22600;Генератор (80A);8182;;;;;2;3
;37300-42860;Генератор (90A);19383;;;;;1;3
;37300-22650;Генератор (90A);8182;;;;;5;3
;37300-38400;Генератор (95A);11573;;;;;1;3
;22231-23001;Гидрокомпенсатор;1145;;;;;5;3
;24610-22600;Гидрокомпенсатор;630;;;;;5;3
;24610-33050;Гидрокомпенсатор;900;;;;;1;3
;22231-37110;Гидрокомпенсатор;818;;;;;5;3
;22226-23500;Гидрокомпенсатор;655;;;;;5;3
;28730-1C050;Глушителя задняя часть;6648;;;;;1;3
;28610-25000;Глушителя передняя часть (с кат) с отверстием;5842;;;;;1;3
;28610-1C580;Глушителя передняя часть (с кат) с отверстием;5384;;;;;1;3
;22100-38105;Головка блока;22582;;;;;1;3
;98622-1C500;Горловина бачка омывателя;982;;;;;1;3
;95680-38500;Датчик ABS задний левый;2921;;;;;3;3
;95680-2D000;Датчик ABS задний левый;3273;;;;;1;3
;95681-25000;Датчик ABS задний левый;3273;;;;;1;3
;95650-26000;Датчик ABS задний левый;3535;;;;;4;3
;59880-H1050;Датчик ABS задний левый;4255;;;;;2;3
;95680-2E300;Датчик ABS задний левый;4058;;;;;3;3
;95680-17000;Датчик ABS задний левый;3273;;;;;4;3
;95690-2C000;Датчик ABS задний левый;5155;;;;;1;3
;95680-38600;Датчик ABS задний правый;2921;;;;;3;3
;95680-2D100;Датчик ABS задний правый;3273;;;;;1;3
;59890-H1050;Датчик ABS задний правый;4255;;;;;2;3
;95660-26000;Датчик ABS задний правый;3535;;;;;1;3
;95680-2E310;Датчик ABS задний правый;3665;;;;;3;3
;95680-17100;Датчик ABS задний правый;3273;;;;;4;3
;95670-38000;Датчик ABS перед левый;3273;;;;;1;3
;95671-25000;Датчик ABS перед левый;2712;;;;;5;3
;95671-1C000;Датчик ABS перед левый;3927;;;;;1;3
;95610-26010;Датчик ABS перед левый;3273;;;;;1;3
;95670-2E300;Датчик ABS перед левый;4295;;;;;3;3
;59810-H1050;Датчик ABS перед левый;3927;;;;;1;3
;95670-38100;Датчик ABS перед правый;3273;;;;;3;3
;95671-25300;Датчик ABS перед правый;3130;;;;;5;3
;95670-17100;Датчик ABS перед правый;3927;;;;;1;3
;95671-1C010;Датчик ABS перед правый;3927;;;;;1;3
;95670-2E310;Датчик ABS перед правый;4295;;;;;5;3
;59830-H1050;Датчик ABS перед правый;3927;;;;;1;3
;39300-22600;Датчик абсолютного давления  MAP;2782;;;;;2;3
;94750-37000;Датчик давления масла;900;;;;;1;3
;93860-39003;Датчик заднего хода;1309;;;;;5;3
;39210-33070;Датчик кислородный (лямбда-зонд);6586;;;;;3;3
;39210-22610;Датчик кислородный (лямбда-зонд) (в коллекторе);4353;;;;;3;3
;39210-22620;Датчик кислородный (лямбда-зонд) (в приемн. трубе);5384;;;;;1;3
;39210-38005;Датчик кислородный верхний (лямбда-зонд);4868;;;;;5;3
;39210-37160;Датчик кислородный левый верхний (лямбда-зонд);6415;;;;;1;3
;39210-37165;Датчик кислородный левый верхний (лямбда-зонд);6644;;;;;1;3
;39210-37530;Датчик кислородный левый верхний (лямбда-зонд);6300;;;;;5;3
;39210-37540;Датчик кислородный левый нижний (лямбда-зонд);6300;;;;;1;3
;39210-38015;Датчик кислородный нижний (лямбда-зонд);6300;;;;;5;3
;39210-37510;Датчик кислородный правый верхний (лямбда-зонд);6300;;;;;2;3
;39210-37145;Датчик кислородный правый нижний (лямбда-зонд);6300;;;;;3;3
;31974-43000;Датчик наличия воды;1145;;;;;2;3
;35102-33005;Датчик положения дроссельной заслонки;4868;;;;;1;3
;35170-22010;Датчик положения дроссельной заслонки;2225;;;;;2;3
;35102-38610;Датчик положения дроссельной заслонки;2712;;;;;5;3
;35170-22600;Датчик положения дроссельной заслонки;2225;;;;;5;3
;35102-39000;Датчик положения дроссельной заслонки;4868;;;;;1;3
;35170-26900;Датчик положения дроссельной заслонки;3535;;;;;5;3
;39180-37150;Датчик положения коленвала;3927;;;;;1;3
;39310-38060;Датчик положения коленвала;3273;;;;;5;3
;39180-22600;Датчик положения коленвала;2504;;;;;2;3
;39310-38070;Датчик положения коленвала;4058;;;;;1;3
;39180-23500;Датчик положения коленвала;4058;;;;;2;3
;39310-39010;Датчик положения коленвала;4696;;;;;1;3
;39310-38400;Датчик положения коленвала;4582;;;;;1;3
;39310-39800;Датчик положения коленвала;4582;;;;;2;3
;39600-4X000;Датчик положения коленвала;4295;;;;;1;3
;39650-42140;Датчик положения коленвала;4255;;;;;1;3
;39650-42150;Датчик положения коленвала;4582;;;;;1;3
;39310-39050;Датчик положения коленвала;5384;;;;;1;3
;39350-37110;Датчик положения распредвала;4353;;;;;2;3
;39350-22600;Датчик положения распредвала;2504;;;;;5;3
;39310-38050;Датчик положения распредвала;4582;;;;;5;3
;39350-22040;Датчик положения распредвала;3796;;;;;3;3
;39350-23010;Датчик положения распредвала;4582;;;;;4;3
;39318-39800;Датчик положения распредвала;5441;;;;;4;3
;39350-23500;Датчик положения распредвала;3273;;;;;3;3
;39350-23700;Датчик положения распредвала;4295;;;;;1;3
;28164-38210;Датчик потока воздуха;7159;;;;;5;3
;28164-22610;Датчик потока воздуха;7670;;;;;5;3
;28164-37200;Датчик потока воздуха;9972;;;;;1;3
;28100-39450;Датчик потока воздуха;11782;;;;;1;3
;28164-23700;Датчик потока воздуха;10309;;;;;1;3
;96420-4A600;Датчик скорости;1947;;;;;3;3
;43621-39700;Датчик скорости;1739;;;;;1;3
;45955-22701;Датчик скорости АКПП;2782;;;;;3;3
;45955-22720;Датчик скорости АКПП;2504;;;;;4;3
;45955-22711;Датчик скорости АКПП;3273;;;;;2;3
;45955-22731;Датчик скорости АКПП;3273;;;;;1;3
;42620-39051;Датчик скорости АКПП (вход);3273;;;;;5;3
;42621-39052;Датчик скорости АКПП (выход);3273;;;;;5;3
;39230-26600;Датчик температуры (в головке блока);1309;;;;;5;3
;25385-1C150;Датчик температуры (на вентиляторе);2782;;;;;1;3
;39220-21320;Датчик температуры воды (на термостате);818;;;;;1;3
;39220-38030;Датчик температуры воды (на термостате);982;;;;;5;3
;25360-37100;Датчик температуры(в рад-ре);1391;;;;;1;3
;94460-38000;Датчик уровня топлива;3060;;;;;1;3
;94460-38210;Датчик уровня топлива;3060;;;;;3;3
;94460-25000;Датчик уровня топлива;1325;;;;;5;3
;94460-1C000;Датчик уровня топлива;1739;;;;;3;3
;73700-1C010;Дверь задняя (5-я);10702;;;;;2;3
;73700-1C210;Дверь задняя (5-я);11291;;;;;4;3
;77003-3C020;Дверь задняя левая;11291;;;;;5;3
;77003-1C020;Дверь задняя левая;9622;;;;;2;3
;77003-2D031;Дверь задняя левая;9460;;;;;5;3
;77003-26110;Дверь задняя левая;13831;;;;;1;3
;77003-3K010;Дверь задняя левая;11761;;;;;2;3
;77003-2H010;Дверь задняя левая;11782;;;;;4;3
;77003-3A020;Дверь задняя левая;15807;;;;;1;3
;77003-2E020;Дверь задняя левая (без расш.);14020;;;;;1;3
;77003-2E050;Дверь задняя левая (с расш.);13643;;;;;3;3
;77004-3C020;Дверь задняя правая;11291;;;;;5;3
;77004-25030;Дверь задняя правая;9920;;;;;3;3
;77004-1C020;Дверь задняя правая;9622;;;;;1;3
;77004-2D030;Дверь задняя правая;9460;;;;;3;3
;77004-3A020;Дверь задняя правая;14114;;;;;1;3
;77004-3K010;Дверь задняя правая;13173;;;;;1;3
